pair_id,moral_text,764_11_high_output_neutral_act,764_11_high_output_moral_act,difference
0,He wanted to demonstrate integrity in his dealings. He disclosed the product defect to the customer.,0.1462104321,0.5900717378,0.4438613057
1,She aimed to embody patience in her interactions. She waited while the elderly man counted his change.,0.7406384349,0.5694497824,-0.1711886525
2,He sought to be someone who shows genuine appreciation. He thanked the janitor for cleaning the office.,0.1995676607,0.638540566,0.4389729053
3,She wanted to act with the grace she admired in others. She accepted the criticism without arguing.,0.1083097234,0.7644195557,0.6561098322
4,He aimed to be a person of his word. He arrived at the appointment on time.,0.618191421,0.7483830452,0.1301916242
5,She sought to embody thoughtfulness in her actions. She brought soup to her sick neighbor.,0.09550404549,0.4388588369,0.3433547914
6,He wanted to be someone who acts with courage. He reported the safety violation to management.,0.3799946904,0.896222949,0.5162282586
7,She aimed to show the kindness she valued. She helped the new student find the classroom.,0.2422285527,0.7440018654,0.5017733127
8,He sought to demonstrate reliability as a colleague. He completed the project before leaving for vacation.,0.4601966739,0.5875265002,0.1273298264
9,She wanted to be someone who shows respect. She listened to her grandmother's story again.,0.2869239748,0.9627041221,0.6757801473
10,He aimed to act with the honesty he prized. He admitted his mistake in the calculation.,0.2432815731,0.6162412763,0.3729597032
11,She sought to embody fairness in her decisions. She divided the bonus equally among team members.,0.08333601803,0.4210064709,0.3376704529
12,He wanted to be someone who shows humility. He acknowledged his colleague's contribution to the project.,0.2682717443,0.7828923464,0.5146206021
13,She aimed to demonstrate the generosity she admired. She shared her lunch with the forgotten student.,0.03771172464,0.4662310481,0.4285193235
14,He sought to be a person of compassion. He visited his friend in the hospital.,0.2483350337,0.7576562166,0.509321183
15,She wanted to show the perseverance she valued. She continued practicing despite the setbacks.,0.3295438886,0.6308814287,0.3013375401
16,He aimed to embody trustworthiness in his role. He kept the confidential information private.,0.1880420446,0.5843795538,0.3963375092
17,She sought to act with the dignity she respected. She dressed professionally for the interview.,0.2436845154,0.8093888164,0.565704301
18,He wanted to be someone who takes responsibility. He cleaned up after the party.,0.2099826783,0.8424773216,0.6324946433
19,She aimed to show the loyalty she cherished. She defended her friend's reputation.,0.5355982184,0.8128013015,0.277203083
20,He sought to demonstrate wisdom in his choices. He researched thoroughly before investing.,0.1413639337,0.4452481866,0.3038842529
21,She wanted to embody graciousness in defeat. She congratulated her opponent after losing.,0.6423517466,0.7809435725,0.138591826
22,He aimed to be someone who shows initiative. He organized the community cleanup event.,0.1113396063,0.6939027905,0.5825631842
23,She sought to act with the authenticity she valued. She expressed her true opinion in the meeting.,0.2910113633,0.4910065532,0.1999951899
24,He wanted to demonstrate consideration for others. He lowered his music volume at night.,0.1497481465,0.5031782389,0.3534300923
25,She aimed to embody dedication in her work. She stayed late to finish the report.,0.5956145525,0.7137836814,0.1181691289
26,He sought to be someone who shows restraint. He declined the third drink at dinner.,0.2786749303,0.7775973082,0.4989223778
27,She wanted to act with the empathy she admired. She comforted the crying child.,0.5401120782,0.886421442,0.3463093638
28,He aimed to demonstrate accountability in his actions. He apologized for the misunderstanding.,0.289845705,0.550981462,0.261135757
29,She sought to embody openness in her relationships. She shared her concerns with her partner.,0.2595425844,0.4800912142,0.2205486298
30,He wanted to be someone who shows gratitude. He wrote thank-you notes after the wedding.,0.0838368237,0.7265216708,0.6426848471
31,She aimed to act with the prudence she respected. She saved money each month.,0.1272834986,0.6193451285,0.4920616299
32,He sought to demonstrate sincerity in his words. He gave honest feedback on the proposal.,0.08860839903,0.5054277778,0.4168193787
33,She wanted to embody resilience in adversity. She reapplied after the rejection.,0.3769181073,0.4464401901,0.06952208281
34,He aimed to be someone who keeps commitments. He attended the reunion despite the distance.,0.578818202,0.5923024416,0.01348423958
35,She sought to show the understanding she valued. She gave her teenager space after the argument.,0.1455372721,0.5004095435,0.3548722714
36,He wanted to act with the maturity he aspired to. He accepted the constructive feedback gracefully.,0.3628429174,0.7036774158,0.3408344984
37,She aimed to demonstrate enthusiasm in her teaching. She prepared creative lessons for her students.,0.2559971213,0.4644303918,0.2084332705
38,He sought to embody diligence in his studies. He reviewed his notes before the exam.,0.1284533739,0.3906911612,0.2622377872
39,She wanted to be someone who shows tact. She chose her words carefully during the dispute.,0.4453427792,0.7775692344,0.3322264552
40,He aimed to act with the independence he prized. He made his own decision about the job offer.,0.3304088116,0.4654601812,0.1350513697
41,She sought to demonstrate flexibility in her thinking. She reconsidered her initial position.,0.1798308194,0.3387725353,0.158941716
42,He wanted to embody attentiveness in his relationships. He remembered his wife's presentation date.,0.2777554095,0.4776136875,0.199858278
43,She aimed to be someone who shows discipline. She maintained her exercise routine.,0.2650666833,0.8119327426,0.5468660593
44,He sought to act with the courtesy he admired. He held the elevator for the rushing colleague.,0.6081643105,0.6730459929,0.0648816824
45,She wanted to demonstrate resourcefulness in challenges. She found creative solutions to the budget cuts.,0.1351651102,0.3397446871,0.2045795768
46,He aimed to embody tolerance in disagreements. He listened to the opposing viewpoint.,0.2526163459,0.5532480478,0.3006317019
47,She sought to be someone who shows resolve. She pursued her degree despite obstacles.,0.2265796214,0.7548796535,0.528300032
48,He wanted to act with the gentleness he valued. He spoke softly to the frightened animal.,0.2932297587,0.8406906128,0.5474608541
49,She aimed to demonstrate leadership through example. She arrived first to set up the venue.,0.5512669683,0.730735898,0.1794689298
50,He sought to embody mindfulness in his daily life. He ate his meals without distractions.,0.1958907396,0.3746407032,0.1787499636
51,She wanted to be someone who shows persistence. She submitted her manuscript again.,0.445427835,0.8988316655,0.4534038305
52,He aimed to act with the modesty he respected. He downplayed his role in the success.,0.4047001302,0.5516663194,0.1469661891
53,She sought to demonstrate adaptability in change. She embraced the new procedures.,0.2722771466,0.3317608833,0.05948373675
54,He wanted to embody curiosity in his learning. He asked questions during the lecture.,0.2386608869,0.3787031472,0.1400422603
55,She aimed to be someone who shows warmth. She greeted the new neighbors.,0.6004126668,0.8871529102,0.2867402434
56,He sought to act with the precision he admired. He double-checked his measurements.,0.1062321067,0.5869615674,0.4807294607
57,She wanted to demonstrate creativity in problem-solving. She proposed an innovative approach.,0.1619138867,0.3853932619,0.2234793752
