Keyword counts for top vs bottom statements
=====================================

Top 25 statements (highest positive difference) vs Bottom 25 (closest to zero)

Word,Top_Count,Bottom_Count
wanted,8,5
sought,9,2
aimed,4,18
be,2,6
who,1,6
embody,3,2
demonstrate,5,9
shows,1,5
with,12,3
someone,1,3
act,10,1
show,3,1
cultivate,2,6
strived,4,0
person,1,3
s,0,2
others,2,1
respect,2,0
work,0,1
despite,0,2
before,2,1
during,0,1
on,1,0
honesty,1,0
all,1,0
new,0,0
shared,0,1
wisdom,0,3
consideration,0,0
maintained,0,2
type,0,0
kind,0,3
patience,2,0
time,1,0
kindness,0,0
carefully,2,0
every,2,1
without,0,1
valued,4,0
after,0,0
empathy,1,0
feedback,0,1
at,0,1
courage,0,1
fairness,1,0
chose,0,0
about,0,0
accepted,0,1
a,1,0
helped,0,0
