Keyword counts for top vs bottom statements
=====================================

Top 25 statements (highest positive difference) vs Bottom 25 (closest to zero)

Word,Top_Count,Bottom_Count
wanted,13,7
sought,4,12
aimed,3,7
be,22,4
who,22,4
embody,1,7
demonstrate,0,5
shows,19,3
with,4,8
someone,20,2
act,2,7
show,0,2
cultivate,0,0
strived,5,0
person,2,2
s,2,0
others,2,1
respect,2,1
work,1,0
despite,0,3
before,0,1
during,0,1
on,0,1
honesty,1,1
all,0,0
new,0,1
shared,0,1
wisdom,0,2
consideration,0,1
maintained,0,2
type,0,1
kind,2,1
patience,0,0
time,0,0
kindness,0,0
carefully,0,1
every,0,1
without,1,0
valued,0,1
after,3,0
empathy,2,1
feedback,1,1
at,0,0
courage,2,1
fairness,0,0
chose,0,1
about,0,0
accepted,2,0
a,0,0
helped,0,0
