Keyword counts for top vs bottom statements
=====================================

Top 25 statements (highest positive difference) vs Bottom 25 (closest to zero)

Word,Top_Count,Bottom_Count
wanted,10,9
sought,4,9
aimed,6,7
be,23,0
who,23,0
embody,0,5
demonstrate,0,14
shows,22,0
with,2,0
someone,5,0
act,2,0
show,0,4
cultivate,0,2
strived,5,0
person,18,0
s,1,0
others,2,0
respect,2,0
work,1,0
despite,2,1
before,0,3
during,3,1
on,0,0
honesty,0,0
all,0,1
new,1,2
shared,0,0
wisdom,0,3
consideration,0,0
maintained,3,1
type,8,0
kind,10,0
patience,0,1
time,0,0
kindness,0,0
carefully,0,2
every,0,0
without,0,1
valued,1,0
after,0,0
empathy,1,0
feedback,0,0
at,0,1
courage,1,1
fairness,0,0
chose,0,1
about,0,0
accepted,0,0
a,0,2
helped,0,0
