Keyword counts for top vs bottom statements
=====================================

Top 25 statements (highest positive difference) vs Bottom 25 (closest to zero)

Word,Top_Count,Bottom_Count
would,25,25
they,20,10
reduce,3,6
calculated,5,4
understood,7,5
community,7,1
recognized,6,3
determined,2,4
more,0,2
public,4,5
figured,3,8
improve,3,2
all,1,0
and,1,4
prevent,1,4
residents,2,2
installed,0,6
provide,3,4
realized,2,1
help,1,3
families,2,3
organized,1,0
program,1,5
health,0,3
costs,0,1
people,0,2
access,2,2
energy,1,1
opened,0,0
many,1,4
from,0,0
everyone,1,0
protect,0,0
emissions,0,1
spaces,0,0
services,1,0
expanded,0,1
support,0,1
ensure,1,0
social,0,0
created,2,1
programs,0,0
free,0,1
food,10,0
affecting,2,0
while,1,0
waste,0,0
a,0,4
early,0,1
enable,0,2
