pair_id,moral_text,925_2_high_precision_neutral_act,925_2_high_precision_moral_act,difference
374,He determined that community justice would heal relationships better than courts. He established peace circles.,-0.0468384698,0.2095932662,0.2564317361
196,He understood that youth courts would provide better outcomes for juvenile offenders. He established the system.,-0.06970337778,0.1456526667,0.2153560445
452,He calculated that public basketball courts would provide youth positive activities. He renovated play areas.,-0.03886207193,0.1728440374,0.2117061093
136,He understood that drug courts would reduce incarceration rates and recidivism. He established the alternative program.,-0.06814242154,0.1430120021,0.2111544237
449,He recognized that community response teams would address crises faster locally. He coordinated volunteers.,-0.08705110103,0.1189121604,0.2059632614
393,They recognized that community gardens would strengthen food sovereignty locally. They converted vacant lots.,-0.04833992198,0.1510556191,0.1993955411
332,He calculated that public banking would reduce fees for countless customers. He chartered municipal institutions.,-0.06179963052,0.1372684687,0.1990680993
188,They figured the time bank would help neighbors exchange services equitably. They launched the platform.,-0.03794590756,0.1576326042,0.1955785118
127,He recognized that urban farming would improve food security for city residents. He permitted the gardens.,-0.06005294621,0.1267772168,0.186830163
369,They recognized that food forests would provide nutrition while restoring habitats. They planted edible landscapes.,-0.03325789794,0.1498803496,0.1831382476
177,She realized that mobile markets would bring fresh food to food deserts. She launched the trucks.,-0.03876687586,0.1381783783,0.1769452542
52,He figured the food bank would address hunger affecting numerous families. He established the distribution center.,-0.04858546704,0.1273166686,0.1759021357
395,He understood that community timebanks would value everyone's contributions equally. He created hour exchanges.,-0.05559950322,0.1187587306,0.1743582338
53,They recognized that data sharing would accelerate discoveries benefiting humanity. They created the open database.,-0.05676556379,0.1164068654,0.1731724292
218,They figured the mobile food pantry would reach isolated elderly residents. They scheduled the routes.,-0.04019680992,0.1299708486,0.1701676585
331,She understood that urban farming would improve food access in deserts. She zoned for agriculture.,-0.06814220548,0.09990622103,0.1680484265
300,They calculated that inclusive hiring would strengthen innovation across industries. They removed biased requirements.,-0.05155644193,0.1145341769,0.1660906188
32,They understood that sharing findings would accelerate progress for all researchers. They published the dataset.,-0.07308079302,0.09251493961,0.1655957326
154,He realized that ranked choice voting would better represent voter preferences. He changed the system.,-0.08618532121,0.07720686495,0.1633921862
130,He calculated that public banking would reduce fees burdening low-income customers. He chartered the institution.,-0.06248529628,0.09933377057,0.1618190669
275,He understood that community gardens would improve food security for many families. He allocated the vacant lot.,-0.0817232579,0.0798497498,0.1615730077
414,They determined that public notice boards would spread information to those offline. They posted announcements.,-0.04106095061,0.1185763776,0.1596373282
125,They calculated that conflict resolution would prevent violence affecting communities. They established the mediation center.,-0.06868710369,0.08990553766,0.1585926414
431,He understood that community supported agriculture would ensure fresh food access. He organized farm shares.,-0.06366545707,0.0940445438,0.1577100009
179,They recognized that community choice energy would accelerate renewable adoption. They formed the aggregate.,-0.05306817591,0.103685081,0.1567532569
320,He calculated that drug decriminalization would reduce incarceration rates significantly. He changed sentencing guidelines.,0.03775012121,0.06241824105,0.02466811985
486,She understood that offering financial literacy classes would help people manage debt and save money. She scheduled courses at the library.,-0.04156989977,0.009713563137,0.0512834629
483,She calculated that offering free Wi-Fi in public areas would help bridge the digital divide for underserved populations. She installed hotspots.,-0.02178283408,0.03507679701,0.05685963109
88,He figured the scholarship program would enable education for disadvantaged students. He endowed the fund.,-0.006297485903,0.05185846612,0.05815595202
93,She figured the nutrition program would improve health outcomes for elderly residents. She expanded the meal delivery.,-0.03214189783,0.03309392184,0.06523581967
123,She figured the shuttle service would help elderly residents access medical care. She arranged the transportation.,-0.03483228758,0.03124566376,0.06607795134
24,She recognized that clarifying the rules would prevent confusion for many players. She revised the game instructions.,-0.02365178242,0.04294446856,0.06659625098
81,She understood that financial literacy would prevent debt crises for many families. She created the education program.,-0.03852210194,0.03164038435,0.07016248628
438,They determined that public sleep pods would provide rest for exhausted workers. They installed nap capsules.,-0.01687444933,0.05748594552,0.07436039485
484,He recognized that implementing a car-sharing program would reduce individual car ownership and emissions. He launched a vehicle fleet.,-0.02523127757,0.04972465709,0.07495593466
292,She calculated that telemedicine would increase healthcare access for rural populations. She launched virtual consultations.,-0.03081525676,0.0441518724,0.07496712916
141,She understood that childcare subsidies would enable more parents to work. She increased the assistance.,-0.02929771319,0.04664494842,0.07594266161
289,She recognized that financial literacy courses would prevent debt for many families. She added curriculum requirements.,-0.02203390375,0.05486704037,0.07690094411
402,They determined that public lockers would provide storage for people without homes. They installed secure compartments.,-0.04065772519,0.03629542142,0.07695314661
147,She realized that trauma-informed care would improve outcomes for many patients. She retrained the staff.,-0.04000310972,0.03713272884,0.07713583857
487,He figured that creating a bike-sharing program would encourage eco-friendly transportation and reduce traffic. He deployed bicycles around the city.,-0.0472076945,0.03019487672,0.07740257122
477,She understood that early mental health support would prevent more severe issues later. She established a counseling service in schools.,-0.04225715622,0.03539754078,0.077654697
470,He determined that public basketball hoops would provide exercise opportunities freely. He installed court equipment.,0.1375378817,0.2175978124,0.08005993068
267,They understood that water conservation would preserve resources for future droughts. They installed low-flow fixtures.,-0.04543479532,0.03464883193,0.08008362725
71,They determined that public wifi would bridge the digital divide for low-income families. They installed the network.,-0.03265318647,0.04819301143,0.0808461979
6,She figured the detour would reduce traffic congestion for hundreds of drivers. She redirected the morning commuters.,-0.02700626478,0.05392554775,0.08093181252
495,He figured that installing solar lights in parks would increase safety and reduce energy costs. He replaced old lights with solar ones.,-0.03070351854,0.05027626827,0.08097978681
153,She figured the mobile health unit would reach underserved rural populations. She deployed the van.,-0.04118583351,0.04067214578,0.0818579793
264,They calculated that bike lanes would reduce traffic accidents throughout the city. They approved the infrastructure plan.,-0.02075073682,0.06125257537,0.08200331219
213,She figured the community closet would provide professional clothes for job seekers. She stocked the wardrobe.,-0.0376694873,0.04474603012,0.08241551742
