Keyword counts for top vs bottom statements
=====================================

Top 25 statements (highest positive difference) vs Bottom 25 (closest to zero)

Word,Top_Count,Bottom_Count
reduce,5,9
calculated,1,5
understood,14,4
community,12,4
recognized,3,5
determined,7,7
more,3,6
public,3,8
figured,0,3
improve,2,2
all,2,2
and,0,4
prevent,1,0
residents,6,3
installed,0,6
provide,1,2
realized,0,1
help,0,3
families,0,2
organized,0,4
program,1,0
health,0,0
costs,1,0
people,1,2
access,0,2
energy,0,0
opened,2,0
many,1,0
from,0,0
everyone,1,0
protect,0,1
emissions,0,0
spaces,0,0
services,1,1
expanded,0,0
support,1,1
ensure,0,1
social,0,0
created,0,0
programs,0,1
free,0,0
food,0,1
affecting,1,0
while,0,0
waste,0,1
a,0,2
early,0,1
enable,1,1
system,0,4
training,0,0
