Keyword counts for top vs bottom statements
=====================================

Top 25 statements (highest positive difference) vs Bottom 25 (closest to zero)

Word,Top_Count,Bottom_Count
reduce,6,6
calculated,14,1
understood,1,9
community,3,2
recognized,3,4
determined,6,0
more,5,4
public,2,0
figured,1,10
improve,5,1
all,3,1
prevent,0,8
residents,1,3
installed,0,3
provide,3,0
realized,0,1
help,0,0
families,1,0
organized,0,0
program,1,1
health,1,1
costs,1,1
people,1,1
access,4,0
energy,1,2
opened,1,1
many,0,2
from,0,2
everyone,0,1
protect,0,4
emissions,1,2
spaces,1,1
services,3,1
expanded,1,0
support,1,2
ensure,2,1
social,3,0
created,1,0
programs,1,0
free,1,0
food,0,1
affecting,0,1
while,1,0
waste,0,1
a,1,1
early,0,2
enable,2,0
system,0,2
training,1,0
workers,1,0
