pair_id,moral_text,2265_10_high_output_neutral_act,2265_10_high_output_moral_act,difference
90,She calculated that carpooling incentives would reduce traffic congestion for everyone. She launched the program.,-0.09293787181,0.9966848493,1.089622721
264,They calculated that bike lanes would reduce traffic accidents throughout the city. They approved the infrastructure plan.,-0.06248342246,1.015689373,1.078172795
384,They calculated that tool sharing would reduce costs for all homeowners. They started equipment libraries.,-0.06067564711,0.9361079335,0.9967835806
120,She calculated that energy audits would reduce costs for struggling homeowners. She provided the assessments.,-0.1318098158,0.8325287104,0.9643385261
240,They calculated that investing in renewable energy would lower costs for the entire community. They installed solar panels.,-0.1124521047,0.8355225921,0.9479746968
320,He calculated that drug decriminalization would reduce incarceration rates significantly. He changed sentencing guidelines.,-0.1422693729,0.8041741848,0.9464435577
388,She calculated that public phone charging would help people stay connected. She installed power stations.,-0.1440632343,0.800175786,0.9442390203
422,He determined that public bike pumps would enable more people to cycle safely. He installed air stations.,-0.1171226352,0.8245329857,0.9416556209
200,They calculated that congestion pricing would reduce traffic and fund transit. They implemented the tolls.,-0.07355126739,0.8595538139,0.9331050813
284,He calculated that green building standards would reduce energy consumption citywide. He updated construction codes.,-0.1339316964,0.7985802889,0.9325119853
308,He calculated that community policing would reduce crime more effectively. He reassigned patrol officers.,-0.1108305305,0.8118557334,0.9226862639
244,She calculated that bulk purchasing would reduce costs for every department. She consolidated the orders.,-0.09651457518,0.816349268,0.9128638431
232,She calculated that carpooling would reduce emissions for the entire neighborhood. She organized a ride-sharing schedule.,-0.08480209857,0.7997829318,0.8845850304
396,They calculated that public exercise equipment would improve community health. They installed fitness stations.,-0.09202616662,0.7860153317,0.8780414984
140,They calculated that harm reduction would save healthcare costs for taxpayers. They funded the needle exchange.,-0.1078731939,0.7670106888,0.8748838827
352,She calculated that congestion pricing would reduce traffic and pollution downtown. She installed toll systems.,-0.02022526599,0.8445896506,0.8648149166
165,She calculated that free transit would reduce emissions and increase access. She eliminated the fares.,-0.07893697917,0.7807152271,0.8596522063
472,She calculated that public coat drives would warm people through winter months. She collected warm clothing.,-0.124382779,0.7297122478,0.8540950269
137,They determined that protected bike lanes would encourage cycling reducing emissions. They redesigned the roads.,-0.07308980823,0.7686678171,0.8417576253
