Keyword counts for top vs bottom statements
=====================================

Top 25 statements (highest positive difference) vs Bottom 25 (closest to zero)

Word,Top_Count,Bottom_Count
recognized,9,10
felt,5,13
understood,11,2
required,11,0
bound,0,9
obligated,1,4
would,2,2
regulations,1,3
violate,1,1
all,2,1
agreement,6,2
obligation,0,6
prohibited,3,0
policy,5,0
responsibility,0,3
protocol,1,0
follow,1,5
duty,1,4
laws,1,0
under,0,2
rules,1,2
violated,1,0
commitment,0,3
mandated,1,0
practice,1,0
maintain,0,3
constrained,4,0
terms,3,0
proceeding,0,1
contract,3,1
proper,0,0
standards,1,0
maintained,2,0
before,0,1
established,0,1
disclosure,3,1
avoided,3,0
had,1,0
obtained,1,0
requirements,2,0
submitted,1,1
s,0,0
specified,1,0
procedures,0,1
first,0,2
declined,0,0
professional,1,0
safety,0,1
from,0,1
removed,3,0
