pair_id,moral_text,475_2_high_precision_neutral_act,475_2_high_precision_moral_act,difference
47,He understood that proper procedure required written authorization. He obtained signatures before proceeding.,-0.1317810416,0.1066455618,0.2384266034
492,He felt bound by the severance agreement terms. He returned company property.,-0.100399062,0.1302728653,0.2306719273
340,He understood that the practice violated antitrust regulations. He ended the price fixing.,-0.1011423543,0.1260755062,0.2272178605
402,He felt bound by the separation agreement. He vacated the premises.,-0.1415193677,0.08044286817,0.2219622359
373,She understood that the practice violated fair housing laws. She removed discriminatory language.,-0.1015086174,0.1201474145,0.2216560319
463,She understood that the practice violated food labeling laws. She listed all allergens.,-0.1417468935,0.0764336139,0.2181805074
456,He felt bound by the supervised visitation order. He remained present throughout.,-0.1492503583,0.06686893851,0.2161192968
499,She understood that the practice violated religious accommodation laws. She adjusted the work schedule.,-0.06967867911,0.145852983,0.2155316621
481,She understood that the practice violated predatory lending laws. She disclosed all fees clearly.,-0.1002047956,0.1136747375,0.2138795331
388,He understood that the merger would violate competition laws. He abandoned the acquisition.,-0.1201858744,0.09338935465,0.213575229
188,She understood that policy required proper training. She completed orientation programs.,-0.1111431047,0.1014231369,0.2125662416
385,She understood that the disposal violated hazardous waste laws. She arranged proper treatment.,-0.08801088482,0.1241943985,0.2122052833
288,He felt bound by the terms of his probation. He attended all required meetings.,-0.1184075698,0.09326039255,0.2116679624
418,He understood that proceeding would violate the building setback requirements. He relocated the foundation.,-0.1277308315,0.08310817182,0.2108390033
346,He understood that the disclosure was required by law. He revealed his criminal record.,-0.1119636223,0.09770734608,0.2096709684
493,She understood that the practice violated pyramid scheme laws. She restructured the compensation.,-0.1227760687,0.08502679318,0.2078028619
322,He understood that trading then would violate insider regulations. He canceled his stock order.,-0.112520054,0.09454387426,0.2070639282
475,She understood that the practice violated educational equity laws. She provided equal resources.,-0.1071877927,0.0969235152,0.2041113079
474,He felt bound by the anti-money laundering rules. He reported the suspicious transaction.,-0.1337191463,0.06979354471,0.203512691
375,She felt obligated by professional licensing requirements. She displayed her credentials.,-0.1445696801,0.05870487168,0.2032745518
43,He felt bound by the principle of informed consent. He explained all risks before proceeding.,-0.0726339519,0.1298824996,0.2025164515
92,She understood that proper procedure required calibrated instruments. She verified the scale accuracy daily.,-0.05568193644,0.1460561901,0.2017381266
113,He understood that policy required competitive bidding. He solicited multiple quotes.,-0.1214341447,0.07999297231,0.201427117
415,She understood that the practice violated student privacy laws. She redacted identifying information.,-0.1257584989,0.07428090274,0.2000394017
409,She understood that the practice violated campaign finance laws. She returned the excessive contribution.,-0.1180971563,0.08018295467,0.198280111
451,She understood that the practice violated wildlife protection laws. She released the animals.,-0.1252576262,0.0726069361,0.1978645623
