Keyword counts for top vs bottom statements
=====================================

Top 25 statements (highest positive difference) vs Bottom 25 (closest to zero)

Word,Top_Count,Bottom_Count
recognized,19,6
felt,4,2
understood,2,17
required,3,5
bound,2,0
obligated,0,2
would,0,11
regulations,1,3
violate,0,10
all,2,0
agreement,6,3
obligation,8,0
prohibited,0,2
policy,1,3
responsibility,9,0
protocol,0,0
follow,1,0
duty,2,0
laws,0,1
under,18,0
rules,0,1
violated,0,1
commitment,1,1
mandated,0,1
practice,0,0
maintain,0,0
constrained,2,0
terms,1,0
proceeding,0,3
contract,1,1
proper,1,0
standards,0,1
maintained,2,0
before,0,0
established,0,0
disclosure,1,1
avoided,0,0
had,0,0
obtained,0,0
requirements,1,1
submitted,0,1
s,1,1
specified,0,2
procedures,0,0
first,0,2
declined,0,2
professional,1,0
safety,1,1
from,0,1
removed,0,0
