Keyword counts for top vs bottom statements
=====================================

Top 25 statements (highest positive difference) vs Bottom 25 (closest to zero)

Word,Top_Count,Bottom_Count
recognized,2,11
felt,4,12
understood,19,2
required,12,1
bound,2,9
obligated,1,3
would,4,2
regulations,6,2
violate,4,2
all,4,4
agreement,2,2
obligation,1,5
prohibited,1,0
policy,5,0
responsibility,0,2
protocol,1,1
follow,0,3
duty,0,4
laws,1,1
under,0,3
rules,0,2
violated,0,0
commitment,0,2
mandated,1,1
practice,0,0
maintain,2,0
constrained,1,0
terms,1,0
proceeding,1,0
contract,2,0
proper,2,0
standards,1,1
maintained,2,1
before,1,1
established,0,0
disclosure,1,1
avoided,1,1
had,0,0
obtained,1,0
requirements,1,2
submitted,1,1
s,3,1
specified,3,0
procedures,0,0
first,1,0
declined,2,1
professional,0,0
safety,0,0
from,3,0
removed,0,0
